You are an expert in bioinformatics, sequencing technologies, genomics data analysis, and adjacent fields.

You are given findings from a MultiQC report, generated by a bioinformatics workflow.
MultiQC supports various bioinformatics tools that output QC metrics, and aggregates those metrics
into a single report. It outputs a "General Statistics" table with key metrics for each sample across
all tools. That table is followed by more detailed sections from specific tools, that can include tables,
as well as plots of different types (bar plot, line plot, scatter plot, heatmap, etc.)

You are given data from such a report. Your task is to analyse the data, and
give 1-2 bullet points of a very short and concise overall summary for the results.
Don't waste words: mention only the important QC issues. If there are no issues, just say so.
Just print one or two bullet points, nothing else.
Please do not add any extra headers to the response.

Use markdown to format your reponse for readability. Use directives with pre-defined classes
.text-green, .text-red, and .text-yellow to highlight severity, e.g. :span[39.2%]{.text-red}.
Highlight any mentioned sample names or sample named prefixes or suffixes with a sample directive,
and make sure to use the same color classes for severity, e.g. :sample[A1001.2003]{.text-yellow}
or :sample[A1001]{.text-yellow}. Do not put multiple sample names inside one directive.

You must use only multiples of 4 spaces to indent nested lists.



Two examples of short summaries:

- :span[11/13 samples]{.text-green} show consistent metrics within expected ranges.
- :sample[A1001.2003]{.text-red} and :sample[A1001.2004]{.text-red} exhibit extremely high percentage of :span[duplicates]{.text-red} (:span[65.54%]{.text-red} and :span[83.14%]{.text-red}, respectively).

- All samples show good quality metrics with :span[75.7-77.0%]{.text-green} CpG methylation and :span[76.3-86.0%]{.text-green} alignment rates
- :sample[2wk]{.text-yellow} samples show slightly higher duplication (:span[11-15%]{.text-yellow}) compared to :sample[1wk]{.text-green} samples (:span[6-9%]{.text-green})'



----------------------

Tools used in the report:

1. FastQ Screen
Description: <p>Screens a library of sequences in FastQ format against a set of sequence databases to see if the composition of the library matches with what you expect.</p>
Links: http://www.bioinformatics.babraham.ac.uk/projects/fastq_screen/

----------------------

----------------------

Tool: FastQ Screen
Section: Mapped Reads
Title: FastQ Screen: Mapped Reads

Plot type: bar plot
Values: Mapped reads

|Sample|CulexT_KNWR|WNV_OZ20175|WNV_KJ501492|WNV_MZ605381|WNV_NC_001563|viralProj_30293|Multiple Genomes|No hits|
|---|---|---|---|---|---|---|---|---|
|DeDupTrimmed.30_mock_C_S18_L003_R2_001_screen|82%|0%|0%|0%|0%|0%|0%|17%|
|DeDupTrimmed.30_mock_C_S18_L003_R1_001_screen|82%|0%|0%|0%|0%|0%|0%|17%|
|DeDupTrimmed.30_mock_B_S17_L003_R2_001_screen|86%|0%|0%|0%|0%|0%|0%|12%|
|DeDupTrimmed.30_mock_B_S17_L003_R1_001_screen|86%|0%|0%|0%|0%|0%|0%|12%|
|DeDupTrimmed.30_mock_A_S16_L003_R2_001_screen|58%|0%|0%|0%|0%|0%|3%|37%|
|DeDupTrimmed.30_mock_A_S16_L003_R1_001_screen|58%|0%|0%|0%|0%|0%|3%|38%|
|DeDupTrimmed.30_WNV_C_S15_L003_R2_001_screen|66%|0%|0%|0%|0%|0%|24%|9%|
|DeDupTrimmed.30_WNV_C_S15_L003_R1_001_screen|66%|0%|0%|0%|0%|0%|24%|9%|
|DeDupTrimmed.30_WNV_B_S14_L003_R2_001_screen|62%|0%|0%|0%|0%|0%|30%|7%|
|DeDupTrimmed.30_WNV_B_S14_L003_R1_001_screen|62%|0%|0%|0%|0%|0%|30%|7%|
|DeDupTrimmed.30_WNV_A_S13_L003_R2_001_screen|73%|0%|0%|0%|0%|0%|8%|18%|
|DeDupTrimmed.30_WNV_A_S13_L003_R1_001_screen|73%|0%|0%|0%|0%|0%|8%|18%|
|DeDupTrimmed.26_mock_C_S12_L003_R2_001_screen|43%|0%|0%|0%|0%|0%|0%|55%|
|DeDupTrimmed.26_mock_C_S12_L003_R1_001_screen|43%|0%|0%|0%|0%|0%|0%|56%|
|DeDupTrimmed.26_mock_B_S11_L003_R2_001_screen|57%|0%|0%|0%|0%|0%|0%|42%|
|DeDupTrimmed.26_mock_B_S11_L003_R1_001_screen|57%|0%|0%|0%|0%|0%|0%|42%|
|DeDupTrimmed.26_mock_A_S10_L003_R2_001_screen|54%|0%|0%|0%|0%|0%|0%|45%|
|DeDupTrimmed.26_mock_A_S10_L003_R1_001_screen|53%|0%|0%|0%|0%|0%|0%|45%|
|DeDupTrimmed.26_WNV_C_S9_L003_R2_001_screen|23%|0%|0%|0%|0%|0%|63%|13%|
|DeDupTrimmed.26_WNV_C_S9_L003_R1_001_screen|22%|0%|0%|0%|0%|0%|63%|13%|
|DeDupTrimmed.26_WNV_B_S8_L003_R2_001_screen|34%|0%|0%|0%|0%|0%|36%|28%|
|DeDupTrimmed.26_WNV_B_S8_L003_R1_001_screen|34%|0%|0%|0%|0%|0%|36%|28%|
|DeDupTrimmed.26_WNV_A_S7_L003_R2_001_screen|19%|0%|0%|0%|0%|0%|51%|28%|
|DeDupTrimmed.26_WNV_A_S7_L003_R1_001_screen|19%|0%|0%|0%|0%|0%|51%|28%|
|DeDupTrimmed.22_mock_C_S6_L003_R2_001_screen|30%|0%|0%|0%|0%|0%|0%|68%|
|DeDupTrimmed.22_mock_C_S6_L003_R1_001_screen|30%|0%|0%|0%|0%|0%|0%|69%|
|DeDupTrimmed.22_mock_B_S5_L003_R2_001_screen|51%|0%|0%|0%|0%|0%|0%|48%|
